方法,最终目标值,迭代次数,收敛速度,稳定性,参数质量,视觉质量,节水效率,生态价值,经济性
梯度下降,-0.7532964172648445,100,100,0.006884723830344613,0.678789784080216,1.0,0.5771395040755074,0.738019632248232,0.39999999999712443
共轭梯度,-0.7874999999999999,12,12,0.0,0.75,1.0,1.0,1.0,0.0
BFGS,-1.3079883725674094e+26,1,1,,-2.9140550831314988e+26,3.185167966640238e+26,7.327072685561381e+24,-51386136971275.38,-1.4914659026021333e+27
差分进化,-0.8491317165863663,1,1,,0.644804926318995,1.0,0.5792197052759799,1.0,0.0
改进变尺度,-0.848795626674165,38,38,0.0,0.6483149315612102,1.0,0.5932597262448407,1.0,0.0
