方法,目标函数值,相比梯度下降改进(%),排名
梯度下降,-0.7532964172648445,-0.0,1
共轭梯度,-0.7874999999999999,-4.540521095181316,2
BFGS,-1.3079883725674094e+26,-1.7363528387890181e+28,3
差分进化,-0.8491317165863663,-12.72212334017088,4
改进变尺度,-0.848795626674165,-12.677507448670733,5
