方法,最终目标值,视觉质量,节水效率,生态价值,经济性,总迭代次数
梯度下降,-0.7532964172648445,1.0,0.5771395040755074,0.738019632248232,0.39999999999712443,100
共轭梯度,-0.7874999999999999,1.0,1.0,1.0,0.0,12
BFGS,-1.3079883725674094e+26,3.185167966640238e+26,7.327072685561381e+24,-51386136971275.38,-1.4914659026021333e+27,1
差分进化,-0.8491317165863663,1.0,0.5792197052759799,1.0,0.0,1
改进变尺度,-0.848795626674165,1.0,0.5932597262448407,1.0,0.0,38
